tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902192233543782e54bd0099a347,h201902192235380547eaafd5c239144,h201902192233543782e54bd0099a347,PGF Tarheel Classic Showcase,"Oct 19 - 20, 2019","Rock Hill, SC",18u,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811021549516832a3877c41f754b,h20181102154951699bb357b64a88f48,h201811021549516832a3877c41f754b,"BIG SHOTS WILMINGTON NC TOP 150 (Wilmington, NC | Grade 9-12 Boys)","Oct 19, 2019","Bolivia, NC",Showcase Fee,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181023213041219ffd2a0d96bed49,h201810232130412360436d17fd80b49,h20181023213041219ffd2a0d96bed49,"BIG SHOTS WILMINGTON NC NEXT TOP 150 (Wilmington, NC | Grade 6-8 Boys)","Oct 19, 2019","Bolivia, NC",Showcase Fee,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190121214635253bee7ae2240a64d,h20190121214635276fc2c38f3171d44,h20190121214635253bee7ae2240a64d,2019 Lake Norman Fall Girls Lacrosse Classic,"Oct 19 - 20, 2019","Mooresville, NC",Elementary Girls (2027 & younger),,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190121214635253bee7ae2240a64d,h201901212146352719451caf706df4e,h20190121214635253bee7ae2240a64d,2019 Lake Norman Fall Girls Lacrosse Classic,"Oct 19 - 20, 2019","Mooresville, NC",MS Girls (2024-2026),,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190220211319319f6f748a637dc44,h20190220211319337568efad2917540,h20190220211319319f6f748a637dc44,AYRA Fall Classic,"Oct 25 - 27, 2019",MD,12U - 'B' LEVEL TEAMS ONLY,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190220211319319f6f748a637dc44,h20190220211319340a8b269e1da4749,h20190220211319319f6f748a637dc44,AYRA Fall Classic,"Oct 25 - 27, 2019",MD,13U - 'B' LEVEL TEAMS ONLY,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190220211319319f6f748a637dc44,h2019022021131933551f34a4982e04f,h20190220211319319f6f748a637dc44,AYRA Fall Classic,"Oct 25 - 27, 2019",MD,11U - OPEN DIVISION,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190220211319319f6f748a637dc44,h20190220211903872d7c2ed3dbba84b,h20190220211319319f6f748a637dc44,AYRA Fall Classic,"Oct 25 - 27, 2019",MD,18U - OPEN DIVISION,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018082717131634484ec5e247c6e49,h20180827171316364d1f70c3e341f42,h2018082717131634484ec5e247c6e49,"Zombiefest (BLU CREW),  Seymour, IN.  NO GATE FEE","Oct 19 - 20, 2019","seymour, in",13U Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018082717131634484ec5e247c6e49,h201808271713163593e1d1569958949,h2018082717131634484ec5e247c6e49,"Zombiefest (BLU CREW),  Seymour, IN.  NO GATE FEE","Oct 19 - 20, 2019","seymour, in",11U  (A Bronze)  Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018082717131634484ec5e247c6e49,h20180827171316368274ffff0a6a341,h2018082717131634484ec5e247c6e49,"Zombiefest (BLU CREW),  Seymour, IN.  NO GATE FEE","Oct 19 - 20, 2019","seymour, in",10U (A Bronze)  Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190220211319319f6f748a637dc44,h20190220211319332a7c75adc45e24f,h20190220211319319f6f748a637dc44,AYRA Fall Classic,"Oct 25 - 27, 2019",MD,14U - 'B' LEVEL TEAMS ONLY,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018082717131634484ec5e247c6e49,h20180827171316373cf02853a6d1b45,h2018082717131634484ec5e247c6e49,"Zombiefest (BLU CREW),  Seymour, IN.  NO GATE FEE","Oct 19 - 20, 2019","seymour, in",9U  (A Bronze)  Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h201811040209515631454e87f55d443,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",17U,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811040209515332637acf927764a,h201811040209515650dad0b04847b4d,h201811040209515332637acf927764a,October Slugfest,"Oct 19 - 20, 2019","Montoursville, PA • Williamsport, PA",18U,,,,,,,,,,
