tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190123233155816a53b1d2e1b2645,h201901232339372173e054192a9834a,h20190123233155816a53b1d2e1b2645,Goodland Invitational,"Feb 23 - 24, 2019","Brookfield, WI",Pee Wee,Sun 2/24/2019 1:50 PM,"Saturday, February 23, 2019",P1,9:30 AM,Brookfield Indoor Soccer Complex - Field 2,h201901232341531270b05f435ee7f46,Mighty Ducks,12,3,MNPeewee Green
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h20190222023747323a0a81b085efc4c,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",4th Grade Division,Sat 2/23/2019 1:10 PM,"Saturday, February 23, 2019",P3,10:20 AM,Bridgewater Sports Complex - Field 3,h201902220239090549fab5bca2fbd4e,Laxachusetts White,5,10,Eclipse
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h201902220238207373e29b66744844f,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",7th/8th Grade Division,Sat 2/23/2019 3:03 PM,"Saturday, February 23, 2019",P3,9:40 AM,Bridgewater Sports Complex - Field 1,h201902220251153038fb383ec80ff41,Eclipse 2,2,8,Laxachusetts Red
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517044945691ff29f1638a4c,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",Red,Sat 2/23/2019 10:13 PM,"Saturday, January 05, 2019",P6,7:00 PM,Branchburg Sports Complex,h20181205171013820780f942a53f145,North 2021 Blue,17,11,N20/Westfield
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h20190220200357332644118154f914b,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Gulls Girls Varsity,Sun 2/24/2019 12:11 PM,"Friday, February 22, 2019",P1,5:00 PM,Heritage Park - 7,h20190220200357428cd3a119f236c45,Davis Girls,5,11,Skyline Varisty
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902202001502840a2b135e8b6241,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Seals Boys JV,Yesterday 9:52 AM,"Friday, February 22, 2019",P1,8:00 AM,Heritage Park - 10,h201902202001503146d5b5efd79a449,Cougars Lacrosse JV,10,2,Herriman Mustangs 21/22
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190219014737252be49b239da8b41,h20190219015615755e28d7bd140c448,h20190219014737252be49b239da8b41,TRUE PA Girls Midnight Madness,"Feb 23 - 24, 2019","cheswick, PA",Division 1,Sun 2/24/2019 12:25 AM,"Saturday, February 23, 2019",P0,8:00 PM,Pittsburgh indoor sports arena - Field 1,h201902190256058353fd695517c5c4a,Butler,10,12,Moon
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902202004263874446ddf6419141,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Capitals Girls JV,Sun 2/24/2019 1:10 PM,"Friday, February 22, 2019",P1,10:00 AM,Heritage Park - 6,h20190220200426442e1d10335826e43,Lady Wildcats,4,11,Herriman Lady Mustangs
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190219014737252be49b239da8b41,h20190219015615760fecb180a016e40,h20190219014737252be49b239da8b41,TRUE PA Girls Midnight Madness,"Feb 23 - 24, 2019","cheswick, PA",Division 2,Sat 2/23/2019 11:56 PM,"Saturday, February 23, 2019",P0,8:00 PM,Pittsburgh indoor sports arena - Field 3,h201902190157377339e4b20dc53da44,TRUE MN HS mixed,9,1,Shaler JV
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h20190222023731308e1e779e08a5541,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",5th/6th Grade Division,Sun 2/24/2019 9:20 AM,"Saturday, February 23, 2019",P4,2:20 PM,Bridgewater Sports Complex - Field 1,h20190222024452884a359e8330f7643,Eclipse 1,7,4,Express North
